City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,79.77,Clouds,-23.1203,-134.9692,Chez Bianca & Benoit
7,Kapaa,US,80.58,Rain,22.0752,-159.319,Pono Kai Resort
9,Cabo San Lucas,MX,80.62,Clear,22.8909,-109.9124,Comfort Rooms
10,Atuona,PF,78.73,Clouds,-9.8,-139.0333,Pearl Resort
12,San Rafael,AR,84.13,Clear,-34.6177,-68.3301,Hotel Regional
15,Portobelo,PA,75.11,Clouds,9.55,-79.65,Luna Llena Hostal
22,Ternate,ID,78.26,Rain,0.8,127.4,Boulivard ternate
26,Quatre Cocos,MU,80.71,Rain,-20.2078,57.7625,Horisun
30,Lazaro Cardenas,MX,85.57,Clear,17.9583,-102.2,Hotel Sol del Pacífico
35,Mahebourg,MU,80.89,Rain,-20.4081,57.7,Grand Bel Air
46,Cape Town,ZA,70.38,Clouds,-33.9258,18.4232,Townhouse Hotel
50,Puerto Ayora,EC,87.76,Clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
52,Avarua,CK,84.25,Clouds,-21.2078,-159.775,Paradise Inn
54,Tual,ID,80.65,Clouds,-5.6667,132.75,Suita
58,Hilo,US,73.13,Rain,19.7297,-155.09,Dolphin Bay Hotel
59,Sao Gabriel Da Cachoeira,BR,74.43,Clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
66,Vaini,TO,82.56,Rain,-21.2,-175.2,Keleti International Resort
71,Georgetown,MY,78.73,Clouds,5.4112,100.3354,Page 63 hostel
75,Cotonou,BJ,84.18,Dust,6.3654,2.4183,BENIN ROYAL HOTEL
76,Saint-Philippe,RE,80.19,Clouds,-21.3585,55.7679,Le Baril
77,Eyl,SO,72.7,Clouds,7.9803,49.8164,فندق ايل دابي
78,Souillac,MU,80.98,Rain,-20.5167,57.5167,Hotel SkylineInn
84,Mount Isa,AU,71.37,Clouds,-20.7333,139.5,Ibis Styles
90,Lorengau,PG,82.04,Clouds,-2.0226,147.2712,Seeadler Bay Hotel
94,Vao,NC,76.68,Clear,-22.6667,167.4833,Nataiwatch
98,Hithadhoo,MV,80.91,Clouds,-0.6,73.0833,Pebbles Inn
99,Rio Grande,BR,73.51,Clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
101,Morondava,MG,80.64,Clouds,-20.2833,44.2833,Hotel Sharon Menabe
104,Mar Del Plata,AR,77.02,Clear,-38.0023,-57.5575,Nuevo Ostende
105,Pangkalanbuun,ID,74.37,Clouds,-2.6833,111.6167,Hotel Tiara
109,Camana,PE,77.54,Clouds,-16.6228,-72.7111,Caja Arequipa
116,Cidreira,BR,72.28,Clouds,-30.1811,-50.2056,Hotel Castelo
121,Isangel,VU,81.55,Clouds,-19.55,169.2667,Tanna Lodge
124,Bajos De Haina,DO,84.16,Clouds,18.4154,-70.0332,Hotel La Sonrisa
129,Geraldton,AU,73.81,Clouds,-28.7667,114.6,Ocean Centre Hotel
131,Sinnamary,GF,76.59,Clouds,5.3833,-52.95,Hôtel du fleuve
134,Takoradi,GH,79.21,Clear,4.8845,-1.7554,Hillcrest
141,Dolores,AR,73.17,Clear,-36.3132,-57.6792,Plaza Hotel
143,Faanui,PF,81.39,Clear,-16.4833,-151.75,Oa Oa Lodge
144,San Cristobal,VE,77.18,Clouds,7.7669,-72.225,Terra Sur
146,Yulara,AU,78.3,Clear,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
147,Gorontalo,ID,75.22,Rain,0.5412,123.0595,Grand City Hotel
154,Matara,LK,73.76,Clouds,5.9485,80.5353,Villa Palm Breeze
161,Malpe,IN,78.1,Clear,13.35,74.7167,Hotel Kart
164,Tuy Hoa,VN,70.3,Clouds,13.0833,109.3,Vinh Tuan Hotel
166,Bengkulu,ID,74.39,Clouds,-3.8004,102.2655,Dena Hotel
172,Cayenne,GF,77.04,Clouds,4.9333,-52.3333,Central Hôtel
176,Touros,BR,80.92,Clouds,-5.1989,-35.4608,Pousada Atlântico
182,Antsohihy,MG,75.58,Rain,-14.8796,47.9875,Escale
187,Port-Gentil,GA,82.36,Clouds,-0.7193,8.7815,Tara-Mé
199,Amarillo,US,71.04,Clear,35.222,-101.8313,Embassy Suites
202,Richards Bay,ZA,76.98,Clouds,-28.783,32.0377,Protea Hotel
204,Tabou,CI,80.15,Clear,4.423,-7.3528,hôtel le rochet
205,Madras,IN,77.97,Mist,13.0878,80.2785,Blue Star International
206,Beira,MZ,82.49,Clouds,-19.8436,34.8389,Hotel Savoy
210,Hambantota,LK,75.54,Clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
213,Broken Hill,AU,77.59,Clear,-31.95,141.4333,Ibis Styles
217,Kavieng,PG,82.69,Clouds,-2.5744,150.7967,Kavieng Hotel
218,Bodden Town,KY,84.2,Clouds,19.2833,-81.25,Turtle Nest Inn
221,Gwadar,PK,72.99,Clouds,25.1216,62.3254,Sadaf Resorts
222,Kahului,US,80.83,Rain,20.8947,-156.47,Maui Seaside Hotel
227,Axim,GH,79.47,Clear,4.8699,-2.2405,Axim Beach Hotel
229,Makakilo City,US,79.12,Rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
233,Chilca,PE,74.91,Clouds,-12.5211,-76.7372,Hotel Benvenuto
235,Sao Filipe,CV,71.15,Clouds,14.8961,-24.4956,Bela Vista
237,Pitimbu,BR,82.99,Clouds,-7.4706,-34.8086,Pousada Brisa Mar
242,Fare,PF,81.57,Clear,-16.7,-151.0167,hôtel Maitai Lapita Village
247,Port Lincoln,AU,70.72,Clear,-34.7333,135.8667,Boston Hotel
248,Port Elizabeth,ZA,70.11,Clear,-33.918,25.5701,Waterford Hotel
267,Nouakchott,MR,73.33,Clouds,18.0858,-15.9785,فندق أدرار
271,Vila Velha,BR,82.35,Clouds,-20.3297,-40.2925,Hotel Prainha
276,Nieuw Amsterdam,SR,80.76,Clouds,5.8833,-55.0833,Leonsberg Lodge
278,Neuquen,AR,87.69,Clear,-38.9516,-68.0591,Hotel Argentina 307
295,Reconquista,AR,77.61,Clear,-29.15,-59.65,Hotel San Martin
305,Presidencia Roque Saenz Pena,AR,84.04,Clouds,-26.7852,-60.4388,Hotel Presidente
306,The Valley,AI,77.83,Clouds,18.217,-63.0578,CeBlue
310,Dzaoudzi,YT,78.69,Clear,-12.7887,45.2699,2.0 hôtel
316,Noumea,NC,84.18,Clouds,-22.2763,166.4572,Hotel Gondwana
323,Mahibadhoo,MV,79.95,Clouds,3.7833,72.9667,Coral View Inn
324,Banda Aceh,ID,77.13,Clouds,5.5577,95.3222,Hotel 61
325,Padang,ID,76.17,Clouds,-0.9492,100.3543,losmen Surya
326,Port Blair,IN,75.24,Mist,11.6667,92.75,Andaman Ocean Breeze
328,Hualmay,PE,76.89,Clouds,-11.0964,-77.6139,Hotel Mi Choacan
337,Dakar,SN,72.48,Clear,14.6937,-17.4441,翁记小吃
346,Pisco,PE,80.65,Clear,-13.7,-76.2167,La Portada
359,Unai,BR,76.62,Clouds,-16.3575,-46.9061,Hotel Fazenda Curva do Rio
365,Benito Juarez,MX,78.62,Clouds,19.385,-99.165,Hotel Beverly
374,Manta,EC,78.58,Rain,-0.95,-80.7333,La Gaviota
383,Ahipara,NZ,70.68,Clouds,-35.1667,173.1667,YHA Ahipara
385,Port Moresby,PG,76.42,Haze,-9.4431,147.1797,The Sanctuary Hotel and Spa
386,San Luis,AR,80.29,Clear,-33.295,-66.3356,Hotel Dos Venados
393,Namatanai,PG,81.64,Rain,-3.6667,152.4333,Namatanai Hotel
395,Anahuac,MX,76.75,Clouds,27.2333,-100.15,Hotel Anáhuac
409,Pandaan,ID,72.9,Clouds,-7.6527,112.6875,Hotel Candra
419,Gold Coast,AU,80.01,Clouds,-28.0,153.4333,The Sands Apartments
421,Bairiki,KI,80.6,Clouds,1.3292,172.9752,Marry's Motel
424,Tefe,BR,75.31,Thunderstorm,-3.3542,-64.7114,Hotel Montecarlo
427,Sao Joao Da Barra,BR,80.69,Clouds,-21.6403,-41.0511,Pousada Mediterrâneo
444,Altamira,BR,78.89,Clouds,-3.2033,-52.2064,Hotel Vale do Xingu
446,Batticaloa,LK,76.87,Clouds,7.7102,81.6924,Lake View Hotel
449,Linhares,BR,74.57,Clouds,-19.3911,-40.0722,Days Inn Linhares
453,Ica,PE,83.66,Clouds,-14.0653,-75.7308,Hotel San Francisco
454,Banjar,ID,77.22,Clouds,-8.19,114.9675,Villa Banjar Beach
456,Houma,US,70.0,Clear,29.5958,-90.7195,Courtyard by Marriott Houma
462,Muisne,EC,78.98,Rain,0.6,-80.0333,Hostal Té de Menta
463,Oistins,BB,78.89,Clouds,13.0667,-59.5333,The Abidah By Accra
466,Kloulklubed,PW,73.9,Clouds,7.0419,134.2556,The Adventures Inn
475,Antofagasta,CL,74.48,Clear,-23.65,-70.4,Hotel Colón
479,Lhokseumawe,ID,75.78,Clouds,5.1801,97.1507,Vina Vira Hotel
491,Salinas,US,72.0,Clear,36.6777,-121.6555,The Traveler's Hotel
499,Ejido,VE,71.47,Clouds,8.5514,-71.2375,Viila Suite
505,Acapulco,MX,87.62,Smoke,16.8634,-99.8901,Hotel del Valle
509,Diego De Almagro,CL,78.94,Clear,-26.3667,-70.05,Residencial Hambyll
511,Inhambane,MZ,79.48,Rain,-23.865,35.3833,Hotel de Inhambane
515,Vanimo,PG,77.56,Rain,-2.6741,141.3028,CBC Guesthouse
517,Paita,PE,80.31,Clouds,-5.0892,-81.1144,Victor's
519,Jalpan,MX,79.86,Clear,21.2333,-99.4833,Posada Karina
521,Itaqui,BR,78.55,Clouds,-29.1253,-56.5531,Hotel Contursi
526,Kuruman,ZA,77.18,Clouds,-27.4524,23.4325,Palermo Inn
528,Tarata,BO,74.62,Clouds,-17.6167,-66.0167,Centro Alternativo Tara Tara
