City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
0,Kabalo,CD,-6.05,26.9167,70.45,96,100,4.14,Clouds
1,Kamenka,RU,51.3223,42.7678,28.18,96,100,8.86,Clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,75,5.75,Clouds
3,Umm Lajj,SA,25.0213,37.2685,71.71,62,81,5.68,Clouds
4,Nouadhibou,MR,20.931,-17.0347,66.18,72,87,13.8,Clouds
5,Kindu,CD,-2.95,25.95,73.96,86,100,2.86,Clouds
6,Rikitea,PF,-23.1203,-134.9692,79.77,74,13,15.9,Clouds
7,Kapaa,US,22.0752,-159.319,80.58,85,100,4.0,Rain
8,Nexo,DK,55.0607,15.1306,39.29,83,100,24.47,Clouds
9,Cabo San Lucas,MX,22.8909,-109.9124,80.62,50,0,14.97,Clear
10,Atuona,PF,-9.8,-139.0333,78.73,75,74,12.35,Clouds
11,Ushuaia,AR,-54.8,-68.3,46.06,71,40,20.71,Rain
12,San Rafael,AR,-34.6177,-68.3301,84.13,16,0,16.15,Clear
13,Gayny,RU,60.3071,54.3241,-7.65,100,100,3.22,Clouds
14,Bethel,US,41.3712,-73.414,45.64,63,100,4.0,Clouds
15,Portobelo,PA,9.55,-79.65,75.11,77,72,16.75,Clouds
16,Clyde River,CA,70.4692,-68.5914,-18.17,57,0,4.61,Clear
17,Mikuni,JP,36.2171,136.1519,40.91,91,96,5.5,Clouds
18,Batagay-Alyta,RU,67.8006,130.4114,-36.33,92,11,4.85,Clouds
19,Severo-Kurilsk,RU,50.6789,156.125,16.7,82,89,16.04,Clouds
20,Saskylakh,RU,71.9167,114.0833,-4.41,98,32,7.67,Clouds
21,Presidente Medici,BR,-11.1753,-61.9014,76.21,95,89,3.76,Clouds
22,Ternate,ID,0.8,127.4,78.26,83,100,6.78,Rain
23,Henties Bay,NA,-22.116,14.2845,64.63,80,36,4.83,Clouds
24,Torbay,CA,47.6666,-52.7314,24.17,87,75,12.66,Clouds
25,Tura,IN,25.5198,90.2201,64.58,49,2,2.86,Clear
26,Quatre Cocos,MU,-20.2078,57.7625,80.71,88,100,19.64,Rain
27,Luderitz,NA,-26.6481,15.1594,62.58,88,2,4.05,Clear
28,Port Alfred,ZA,-33.5906,26.891,69.19,96,3,3.53,Clear
29,Luwuk,ID,-0.9516,122.7875,77.61,88,100,1.23,Clouds
30,Lazaro Cardenas,MX,17.9583,-102.2,85.57,51,4,11.97,Clear
31,Guerrero Negro,MX,27.9769,-114.0611,65.16,52,100,2.84,Clouds
32,Polovinnoye,RU,54.7914,65.9864,1.98,100,92,5.93,Clouds
33,Hobart,AU,-42.8794,147.3294,62.06,83,75,13.8,Clouds
34,Iqaluit,CA,63.7506,-68.5145,-29.47,68,40,3.44,Clouds
35,Mahebourg,MU,-20.4081,57.7,80.89,89,75,6.91,Rain
36,Te Anau,NZ,-45.4167,167.7167,65.14,79,84,6.26,Clouds
37,Lata,PT,40.1629,-8.3327,53.08,85,92,4.03,Clouds
38,Jamestown,US,42.097,-79.2353,51.53,34,100,13.8,Clouds
39,Talaya,RU,61.3833,152.75,-34.74,99,100,0.56,Clouds
40,Gat,IL,31.61,34.7642,52.81,80,0,4.7,Clear
41,Vilyuysk,RU,63.7553,121.6247,-21.62,100,100,2.89,Clouds
42,Punta Arenas,CL,-53.15,-70.9167,51.91,50,75,20.71,Clouds
43,Butaritari,KI,3.0707,172.7902,80.4,79,93,10.07,Rain
