City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2023-02-19 08:26:39,-33.65,115.3333,85.78,38,1,17.38
1,Tashara,RU,2023-02-19 08:26:39,55.5195,83.5094,17.8,83,97,10.89
2,Castro,BR,2023-02-19 08:26:40,-24.7911,-50.0119,54.05,96,100,7.56
3,Portland,US,2023-02-19 08:24:38,45.5234,-122.6762,45.18,88,40,4.61
4,Tiksi,RU,2023-02-19 08:26:40,71.6872,128.8694,-25.71,98,63,7.74
5,Hofn,IS,2023-02-19 08:26:41,64.2539,-15.2082,36.41,98,100,4.54
6,Barsovo,RU,2023-02-19 08:26:41,61.1667,73.1667,10.53,90,100,3.91
7,Iquitos,PE,2023-02-19 08:26:42,-3.7481,-73.2472,77.04,94,75,1.14
8,Mataura,NZ,2023-02-19 08:26:42,-46.1927,168.8643,59.49,95,100,1.34
9,Punta Arenas,CL,2023-02-19 08:24:24,-53.15,-70.9167,39.31,87,0,3.44
10,Lebu,CL,2023-02-19 08:26:43,-37.6167,-73.65,55.45,93,34,12.8
11,Poum,NC,2023-02-19 08:26:43,-20.2333,164.0167,80.55,65,20,11.43
12,Cloquet,US,2023-02-19 08:26:44,46.7216,-92.4594,24.98,86,0,0.0
13,Ushuaia,AR,2023-02-19 08:26:44,-54.8,-68.3,42.46,75,0,17.27
14,Touros,BR,2023-02-19 08:22:19,-5.1989,-35.4608,78.26,78,93,8.57
15,Port Alfred,ZA,2023-02-19 08:26:45,-33.5906,26.891,76.17,83,42,3.0
16,Valenca Do Piaui,BR,2023-02-19 08:26:45,-6.4075,-41.7456,67.28,96,98,3.2
17,Tuktoyaktuk,CA,2023-02-19 08:26:46,69.4541,-133.0374,-17.93,88,100,9.93
18,Barrow,US,2023-02-19 08:26:46,71.2906,-156.7887,-7.58,71,100,3.44
19,Leningradskiy,RU,2023-02-19 08:26:47,69.3833,178.4167,-34.56,99,82,4.23
20,West Bay,KY,2023-02-19 08:26:47,19.3667,-81.4167,79.0,81,0,5.01
21,Carnarvon,AU,2023-02-19 08:26:48,-24.8667,113.6333,80.53,70,0,20.89
22,Ostrovnoy,RU,2023-02-19 08:17:11,68.0531,39.5131,20.12,88,100,20.85
23,Batavia,US,2023-02-19 08:26:48,41.85,-88.3126,40.26,72,0,14.97
24,Nikolskoye,RU,2023-02-19 08:26:49,59.7035,30.7861,22.91,91,100,10.2
25,Rikitea,PF,2023-02-19 08:22:25,-23.1203,-134.9692,79.48,76,83,15.88
26,Shingu,JP,2023-02-19 08:26:49,33.7333,135.9833,57.16,75,100,9.01
27,Longyearbyen,SJ,2023-02-19 08:26:50,78.2186,15.6401,10.24,67,40,14.97
28,Maniitsoq,GL,2023-02-19 08:26:50,65.4167,-52.9,16.34,94,100,15.55
29,Thompson,CA,2023-02-19 08:26:51,55.7435,-97.8558,-30.84,75,0,3.44
30,Atuona,PF,2023-02-19 08:24:55,-9.8,-139.0333,79.09,79,29,16.42
31,Tessalit,ML,2023-02-19 08:26:51,20.1986,1.0114,66.15,14,0,18.28
32,Albany,US,2023-02-19 08:26:52,42.6001,-73.9662,30.81,68,96,1.99
33,Georgetown,MY,2023-02-19 08:26:52,5.4112,100.3354,89.55,61,20,9.22
34,Hervey Bay,AU,2023-02-19 08:26:53,-25.2986,152.8535,78.03,75,100,5.01
35,Khatanga,RU,2023-02-19 08:26:53,71.9667,102.5,4.75,92,100,14.2
36,Cabinda,AO,2023-02-19 08:26:54,-5.55,12.2,80.51,84,100,7.54
37,Porto Novo,BJ,2023-02-19 08:26:54,6.4965,2.6036,78.62,41,36,2.8
38,Hermanus,ZA,2023-02-19 08:26:55,-34.4187,19.2345,74.8,71,59,2.64
39,Tuatapere,NZ,2023-02-19 08:26:55,-46.1333,167.6833,58.1,81,100,2.93
40,Bakaly,RU,2023-02-19 08:26:56,55.1789,53.8028,7.92,90,79,6.22
41,Port Moresby,PG,2023-02-19 08:26:56,-9.4431,147.1797,85.42,74,40,17.27
42,Torbay,CA,2023-02-19 08:26:57,47.6666,-52.7314,16.57,89,75,9.22
43,Hamilton,US,2023-02-19 08:26:57,39.1834,-84.5333,41.76,57,0,5.75
44,Hobart,AU,2023-02-19 08:27:57,-42.8794,147.3294,76.05,45,0,12.66
45,Ponta Do Sol,PT,2023-02-19 08:27:58,32.6667,-17.1,63.23,53,18,5.37
46,Broken Hill,AU,2023-02-19 08:27:58,-31.95,141.4333,90.82,13,0,10.76
47,Tasiilaq,GL,2023-02-19 08:27:59,65.6145,-37.6368,21.36,92,100,19.08
48,Oranjemund,NA,2023-02-19 08:28:00,-28.55,16.4333,68.25,70,91,4.47
49,Aklavik,CA,2023-02-19 08:28:00,68.2191,-135.0107,-9.29,98,100,5.23
50,Butaritari,KI,2023-02-19 08:28:01,3.0707,172.7902,81.07,71,81,3.09
51,Avarua,CK,2023-02-19 08:28:01,-21.2078,-159.775,77.05,94,75,11.5
52,Kaitong,CN,2023-02-19 08:28:02,44.8135,123.15,25.52,37,100,12.28
53,Antofagasta,CL,2023-02-19 08:23:09,-23.65,-70.4,69.08,80,0,2.04
54,Komsomolskiy,UZ,2023-02-19 08:28:03,40.4272,71.7189,47.12,81,40,2.3
55,Rawson,AR,2023-02-19 08:28:04,-43.3002,-65.1023,65.43,38,26,18.95
56,Coihaique,CL,2023-02-19 08:28:05,-45.5752,-72.0662,48.15,49,0,4.61
57,Cape Town,ZA,2023-02-19 08:23:47,-33.9258,18.4232,74.12,65,0,14.97
58,Bredasdorp,ZA,2023-02-19 08:28:05,-34.5322,20.0403,72.7,60,52,2.77
59,Bluff,NZ,2023-02-19 08:28:06,-46.6,168.3333,59.81,66,88,4.94
60,Kapaa,US,2023-02-19 08:28:07,22.0752,-159.319,71.92,93,75,4.61
61,Tanout,NE,2023-02-19 08:28:07,14.9709,8.8879,63.48,15,0,21.85
62,Brae,GB,2023-02-19 08:28:08,60.3964,-1.353,43.54,75,100,13.98
63,Ulaanbaatar,MN,2023-02-19 08:24:28,47.9077,106.8832,19.53,63,0,15.66
64,Takoradi,GH,2023-02-19 08:28:09,4.8845,-1.7554,78.75,76,36,1.45
65,Nanton,CA,2023-02-19 08:28:10,50.3501,-113.7687,24.53,77,17,4.36
66,Yellowknife,CA,2023-02-19 08:28:10,62.456,-114.3525,-31.45,68,0,3.44
67,Gamba,GA,2023-02-19 08:28:11,-2.65,10.0,80.47,85,100,1.19
